date,type,category,amount,content
2025-06-15,지출,교통,1천원,택시 이용
2025-01-30,expense,식비,2만 원,편의점 식사
2025-10-10,expense,통신,22천원,알뜰폰 요금
2025년 07월 23일,payback,월급,230만 원,월급 수령
2025/03/02,출금,생활,5천원,생필품 구입
2025년 10월 08일,buy,생활,"24,000원",생필품 구입
2025/08/27,used,쇼핑,2만 원,생활용품 구매
2025-06-03,other,교육,5만 원,수업 교재비
2025-08-03,allowance,월급,"2,700,000원",회사 급여 입금
2025년 10월 21일,payment,통신,33천원,알뜰폰 요금
2025-08-22,용돈,월급,280만 원,정기 급여
2025년 12월 26일,other,생활," 18,000 원 ",생필품 구입
2025년 06월 27일,salary,상여,70만 원,성과급 입금
2026-01-29,spend,문화,1만 원,책 구매
2025.07.25,spend,교육,"250,000원",수업 교재비
2025/07/03,buy,교통,1천원,버스 충전
2025.12.04,수익,상여,20만 원,명절 상여금
2025-08-03,payment,생활,12천원,생필품 구입
2026년 03월 22일,spend,교육,8만 원,책 강의 자료 구매
2025-11-21,buy,식비,3만 원,저녁 식사
2025-01-27,payback,용돈,3만 원,가족 지원금
2025년 04월 17일,used,식비,1만 원,배달 음식 주문
2026-03-11,other,여가,4만 원,게임 결제
2026/01/19,출금,카페," 6,800 원 ",카페 커피
2025.09.28,지출,의료," 120,000 원 ",영양제 구매
2026.03.19,payback,부수입,"120,000원",프리랜서 작업비
2025/09/30,buy,쇼핑,"79,000원",생활용품 구매
2026-01-14,other,식비,"18,000원",점심 식사
2025.08.30,입금,환급," 18,000 원 ",배송비 환급
2025/07/06,allowance,월급,2400천원,월급 수령
2026년 04월 06일,payment,식비,"7,000원",점심 식사
2026.01.20,refund,중고판매,15만 원,물건 판매금
2026/01/05,expense,교통," 12,000 원 ",버스 충전
2025년 01월 15일,salary,중고판매,70천원,물건 판매금
2025-06-29,수입,상여,100천원,프로젝트 보너스
2025/03/13,buy,교육,1만 원,책 강의 자료 구매
2025-05-04,spend,교통," 18,000 원 ",버스 충전
2025/07/01,spend,의료,120천원,영양제 구매
2025/09/26,출금,교육,12만 원,강의 결제
2025-08-31,지출,식비," 18,000 원 ",편의점 식사
2025-01-30,income,월급,"3,000,000원",월급 수령
2025년 02월 02일,buy,생활,50천원,세제 구매
2026년 02월 18일,used,여가,7만 원,여행 경비
2025/03/04,buy,카페,5천원,카페 커피
2026/02/06,입금,이자," 2,000 원 ",적금 이자 수령
2025/04/23,other,식비,"9,000원",저녁 식사
2025.09.21,payment,교통,2천원,버스 충전
2025.10.11,spend,문화,15천원,전시 관람
2025.02.02,bonus,중고판매,1만 원,중고거래 판매대금
2026.04.09,출금,카페,9천원,디저트 카페
2025-10-02,payment,생활,"5,000원",세제 구매
2025-04-04,지출,식비,7천원,배달 음식 주문
2025년 04월 24일,allowance,부수입," 50,000 원 ",알바비 정산
2025.05.18,buy,식비,7천원,저녁 식사
2025/04/14,buy,생활,1만 원,세제 구매
2026/02/16,수입,월급,2100천원,정기 급여
2025.05.06,spend,식비,30천원,편의점 식사
2025-04-28,출금,교육,"80,000원",책 강의 자료 구매
2025-01-08,용돈,이자,5천원,예금 이자 입금
2026.03.07,used,쇼핑,7만 원,생활용품 구매
2025.04.05,용돈,월급,260만 원,월급 수령
2026-03-28,지출,교통,2천원,지하철 이용
2025-09-15,지출,카페,2천원,디저트 카페
2025/10/28,용돈,월급,2400천원,회사 급여 입금
2026/01/02,payment,생활,5만 원,세제 구매
2025-11-13,spend,식비,"45,000원",저녁 식사
2025-10-27,buy,문화,8천원,영화 관람
2025-07-04,other,교통,8천원,버스 충전
2025-12-15,allowance,월급,2200천원,정기 급여
2025/02/03,expense,쇼핑,"180,000원",옷 구매
2025-04-16,allowance,용돈,100천원,가족 지원금
2025.12.17,buy,식비,7천원,저녁 식사
2026-01-16,출금,생활,5천원,세제 구매
2025.12.11,allowance,월급,2500천원,정기 급여
2025년 08월 27일,buy,여가,2만 원,여행 경비
2025/08/23,allowance,상여," 300,000 원 ",명절 상여금
2025/04/18,payback,월급,2500천원,월급 수령
2025년 11월 20일,payment,교육,30천원,책 강의 자료 구매
2025/03/23,allowance,상여,500천원,명절 상여금
2025년 07월 12일,지출,교육,5만 원,책 강의 자료 구매
2025-04-11,used,여가,25천원,게임 결제
2026-03-22,spend,교통,1만 원,지하철 이용
2025년 01월 27일,출금,카페,3천원,디저트 카페
2025년 04월 08일,spend,통신," 18,000 원 ",알뜰폰 요금
2025년 10월 11일,지출,문화,40천원,책 구매
2025/03/12,지출,카페,6천원,카페 커피
2025/06/25,used,카페,5천원,음료 구매
2025년 10월 13일,출금,식비,7천원,저녁 식사
2025/08/20,other,여가,4만 원,여행 경비
2025/03/31,buy,식비," 18,000 원 ",배달 음식 주문
2026.01.19,buy,교통,"4,500원",지하철 이용
2025.09.13,salary,지원금," 100,000 원 ",장학금 지급
2025/07/16,used,쇼핑,18만 원,생활용품 구매
2025년 12월 30일,other,통신," 18,000 원 ",휴대폰 요금
2026/02/27,other,쇼핑,2만 원,생활용품 구매
2025-09-25,other,식비,"7,000원",점심 식사
2025년 04월 30일,used,식비,9천원,배달 음식 주문
2025.02.27,수익,월급,240만 원,월급 수령
2025/11/04,allowance,상여,300천원,명절 상여금
2025-05-01,spend,식비,1만 원,점심 식사
2026년 03월 30일,used,교통," 1,500 원 ",택시 이용
2025년 04월 27일,spend,의료,1만 원,영양제 구매
